region,population,area,cases1,deaths1,cases2,deaths2,cases3,deaths3,cases4,deaths4,cases5,deaths5,cases6,deaths6,cases7,deaths7,cases8,deaths8,cases9,deaths9,cases10,deaths10,cases11,deaths11,cases12,deaths12,cases13,deaths13,cases14,deaths14,cases15,deaths15,cases16,deaths16,cases17,deaths17,cases18,deaths18,cases19,deaths19,cases20,deaths20,cases21,deaths21,cases22,deaths22,cases23,deaths23,cases24,deaths24,cases25,deaths25,cases26,deaths26,cases27,deaths27,cases28,deaths28,cases29,deaths29,cases30,deaths30,cases31,deaths31,cases32,deaths32,cases33,deaths33,cases34,deaths34,cases35,deaths35,cases36,deaths36,cases37,deaths37,cases38,deaths38,cases39,deaths39,cases40,deaths40,cases41,deaths41,cases42,deaths42,cases43,deaths43,cases44,deaths44,cases45,deaths45,cases46,deaths46,cases47,deaths47,cases48,deaths48,cases49,deaths49,cases50,deaths50,cases51,deaths51,cases52,deaths52,cases53,deaths53,cases54,deaths54,cases55,deaths55,cases56,deaths56,cases57,deaths57,cases58,deaths58,cases59,deaths59,cases60,deaths60,cases61,deaths61,cases62,deaths62,cases63,deaths63,cases64,deaths64,cases65,deaths65,cases66,deaths66,cases67,deaths67,cases68,deaths68,cases69,deaths69,cases70,deaths70,cases71,deaths71,cases72,deaths72,cases73,deaths73,cases74,deaths74,cases75,deaths75,cases76,deaths76,cases77,deaths77,cases78,deaths78,cases79,deaths79,cases80,deaths80,cases81,deaths81,cases82,deaths82,cases83,deaths83,cases84,deaths84,cases85,deaths85,cases86,deaths86,cases87,deaths87,cases88,deaths88,cases89,deaths89,cases90,deaths90,cases91,deaths91,cases92,deaths92,cases93,deaths93,cases94,deaths94,cases95,deaths95,cases96,deaths96,cases97,deaths97,cases98,deaths98,cases99,deaths99,cases100,deaths100,cases101,deaths101,cases102,deaths102,cases103,deaths103,cases104,deaths104
Afghanistan,38928346,652860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,0,4,0,5,0,7,0,7,0,7,0,11,0,16,0,21,0,22,0,22,0,22,0,24,0,24,0,40,1,40,1,74,1,84,2,94,4,110,4,110,4,120,4,170,4,174,4,237,4,273,6,281,6,299,7,349,7,367,11,423,14,444,14,484,15,521,15,555,18,607,18,665,21,714,23,784,25,840,30,906,30,933,30,996,33,1026,36,1092,36,1176,40,1279,42,1351,43,1463,47,1531,50,1703,57,1828,58,1939,60,2171,64,2335,68,2469,72,2704,85,2894,90
Albania,2877797,27400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,12,1,23,1,33,1,38,1,42,1,51,1,55,1,59,2,64,2,70,2,76,2,89,2,104,4,123,5,146,5,174,6,186,8,197,10,212,10,223,11,243,15,259,15,277,16,304,17,333,20,361,20,377,21,383,22,400,22,409,23,416,23,433,23,446,23,467,23,475,24,494,25,518,26,539,26,548,26,562,26,584,26,609,26,634,27,663,27,678,27,712,27,726,28,736,28,750,30,766,30,773,31,782,31,789,31,795,31,803,31
Algeria,43851044,2381740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0,5,0,12,0,12,0,17,0,17,0,19,0,20,0,20,0,20,0,24,1,26,2,37,3,48,4,54,4,60,4,74,7,87,9,90,11,139,15,201,17,230,17,264,19,302,21,367,25,409,26,454,29,511,31,584,35,716,44,847,58,986,86,1171,105,1251,130,1320,152,1423,173,1468,193,1572,205,1666,235,1761,256,1825,275,1914,293,1983,313,2070,326,2160,336,2268,348,2418,364,2534,367,2629,375,2718,384,2811,392,2910,402,3007,407,3127,415,3256,419,3382,425,3517,432,3649,437,3848,444,4006,450,4154,453,4295,459,4474,463,4648,465
Andorra,77265,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,39,0,39,0,53,0,75,0,88,0,113,1,133,1,164,1,188,1,224,3,267,3,308,3,334,6,370,8,376,12,390,14,428,15,439,16,466,17,501,18,525,21,545,22,564,23,583,25,601,26,601,26,638,29,646,29,659,31,673,33,673,33,696,35,704,35,713,36,717,37,717,37,723,37,723,37,731,40,738,40,738,40,743,40,743,41,743,42,745,42,745,43,747,44,748,45,750,45
Angola,32866272,1246700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,3,0,3,0,3,0,4,0,4,0,5,0,7,2,7,2,7,2,8,2,8,2,8,2,10,2,14,2,16,2,17,2,19,2,19,2,19,2,19,2,19,2,19,2,19,2,19,2,19,2,19,2,24,2,24,2,24,2,24,2,25,2,25,2,25,2,25,2,26,2,27,2,27,2,27,2,27,2,30,2,35,2,35,2,35,2
Antigua and Barbuda,97929,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0,3,0,3,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,9,0,15,0,15,0,15,0,15,0,19,1,19,2,19,2,19,2,21,2,21,2,23,2,23,2,23,2,23,3,23,3,23,3,23,3,23,3,23,3,24,3,24,3,24,3,24,3,24,3,24,3,24,3,24,3,24,3,25,3,25,3,25,3,25,3
Argentina,45195774,2736690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,8,0,12,1,12,1,17,1,19,1,19,1,31,2,34,2,45,2,56,2,68,2,79,2,97,3,128,3,158,4,266,4,301,4,387,6,387,8,502,9,589,13,690,18,745,19,820,23,1054,27,1054,28,1133,36,1265,39,1451,43,1451,44,1554,48,1628,56,1715,63,1795,72,1975,82,1975,83,2142,90,2208,97,2277,102,2443,111,2571,115,2669,123,2758,129,2839,132,2941,136,3031,147,3144,152,3435,165,3607,176,3780,185,3892,192,4003,197,4127,207,4285,214,4428,218,4532,225,4681,237,4783,246,4887,260
Armenia,2963243,28470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,0,8,0,18,0,26,0,52,0,78,0,84,0,115,0,136,0,160,0,194,0,235,0,249,0,265,0,290,1,329,1,407,1,424,3,482,3,532,3,571,4,663,7,736,7,770,7,822,7,833,8,853,8,881,9,921,10,937,12,967,13,1013,13,1039,14,1067,16,1111,17,1159,18,1201,19,1248,20,1291,20,1339,22,1401,24,1473,24,1523,24,1596,27,1677,28,1746,28,1808,29,1867,30,1932,30,2066,32,2148,33,2273,33,2386,35,2507,39
Australia,25499884,7682300,0,0,0,0,0,0,0,0,4,0,5,0,5,0,6,0,9,0,9,0,12,0,12,0,12,0,13,0,13,0,14,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,25,0,27,1,30,1,39,1,52,2,55,2,60,2,63,2,76,3,91,3,107,3,128,3,128,3,200,3,250,3,297,3,377,3,452,5,568,6,681,6,791,7,1071,7,1549,7,1682,7,2044,8,2364,8,2810,13,3143,13,3640,14,3984,16,4361,17,4559,18,4862,20,5116,24,5330,28,5550,30,5687,35,5797,40,5895,45,6010,50,6108,51,6215,54,6303,57,6315,60,6351,61,6415,62,6440,63,6462,63,6522,66,6568,67,6610,67,6623,67,6645,67,6652,67,6662,75,6677,79,6694,80,6714,83,6721,83,6744,89,6752,91,6766,93,6778,93,6799,94,6822,95,6847,96
Austria,9006398,82409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,3,0,9,0,14,0,18,0,21,0,29,0,41,0,55,0,79,0,104,0,131,0,182,0,246,0,302,1,504,1,655,1,860,1,1018,3,1332,3,1646,4,2013,6,2388,6,2814,8,3582,16,4474,21,5283,28,5588,30,6909,49,7657,58,8271,68,8788,86,9618,108,10180,128,10711,146,11129,158,11524,168,11781,186,12051,204,12297,220,12639,243,12942,273,13244,295,13555,319,13806,337,13945,350,14041,368,14226,384,14336,393,14476,410,14595,431,14671,443,14749,452,14795,470,14873,491,14925,510,15002,522,15071,530,15148,536,15225,542,15274,549,15357,569,15402,580,15452,584,15531,589,15558,596,15597,598,15621,600
